scorer,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145
bodyparts,snout tip,snout tip,snout tip,centre front,centre front,centre front,centre centre,centre centre,centre centre,centre back,centre back,centre back,anogenital region,anogenital region,anogenital region,base-of-tail,base-of-tail,base-of-tail,mid-tail,mid-tail,mid-tail,left ear,left ear,left ear,right ear,right ear,right ear,left front paw,left front paw,left front paw,right front paw,right front paw,right front paw,left back paw,left back paw,left back paw,left back knee,left back knee,left back knee,right back paw,right back paw,right back paw,right back knee,right back knee,right back knee
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,994.97754,685.16797,1.0,960.0801,624.3281,0.39404297,910.72266,549.1748,0.38549805,907.7053,468.55518,0.46289062,913.1582,374.51953,0.9223633,910.43164,339.17627,0.8408203,935.60547,195.34082,0.4580078,889.2344,658.8281,0.60253906,859.4292,685.55566,0.38671875,949.6172,562.97266,0.51220703,963.20996,576.4746,0.53759766,759.4375,547.97986,0.7260742,790.75977,500.82715,0.7036133,1087.043,506.66016,0.70751953,1035.7632,481.05078,0.69140625
1,1024.8281,685.16797,0.88378906,968.08594,627.3169,0.28051758,911.5,552.6406,0.38476562,912.1582,468.91162,0.49560547,915.9349,374.51953,0.96240234,913.22656,339.17627,0.82958984,936.31055,196.32568,0.4345703,947.60156,658.8281,0.043151855,889.3906,685.55566,0.06549072,951.9746,564.9155,0.4453125,986.97266,597.042,0.58203125,759.4863,547.97986,0.7480469,790.75977,500.82715,0.70654297,1091.0347,512.52344,0.7939453,1038.8633,486.05078,0.82177734
2,1044.6494,706.93945,0.9160156,979.4995,667.6406,0.35717773,914.53516,555.35156,0.39794922,913.7461,472.28906,0.39453125,917.48535,379.98453,0.8618164,913.5879,344.15625,0.84521484,938.6172,197.88379,0.5205078,999.4336,658.8281,0.033447266,994.7471,706.2578,0.17175293,996.8301,631.56836,0.5600586,989.89453,638.3086,0.60058594,764.75,552.6719,0.94433594,790.75977,500.82715,0.7895508,1091.1743,517.22754,0.76123047,1043.6343,488.89844,0.71533203
3,1058.6807,706.93945,0.9741211,979.4995,667.6406,0.26293945,914.53516,555.35156,0.4260254,913.7461,472.28906,0.38085938,917.48535,379.98453,0.9663086,913.5879,344.15625,0.80322266,946.57227,204.12683,0.56640625,999.4336,658.8281,0.028060913,994.7471,706.2578,0.062927246,996.8301,637.3779,0.62890625,986.97266,662.03125,0.46557617,764.75,552.6719,0.8066406,790.75977,500.82715,0.6821289,1093.8027,517.22754,0.61621094,1043.6343,488.89844,0.7998047
4,1058.6807,706.93945,0.7988281,993.34375,668.4724,0.23400879,924.6489,580.8374,0.7246094,913.7461,481.52344,0.41064453,918.83594,383.44922,0.85498047,916.7715,349.92285,0.7988281,948.2522,220.66357,0.5019531,947.60156,539.2583,0.03765869,859.4292,679.5039,0.07879639,996.8301,760.125,0.49267578,986.97266,683.52344,0.47558594,764.75,552.6719,0.8769531,790.75977,500.82715,0.69433594,1093.8027,531.5867,0.6777344,1043.6343,501.89648,0.81152344
5,1058.6807,785.0254,1.0,993.34375,683.0078,0.2619629,931.6824,604.344,0.6894531,924.5,519.13086,0.55859375,934.22656,421.61426,0.79345703,932.9751,376.92188,0.765625,954.60156,228.78857,0.52978516,872.5215,539.2583,0.30395508,872.08594,584.91406,0.10076904,941.4668,768.5547,0.52734375,989.28906,691.77026,0.5722656,764.75,574.4746,0.80371094,795.2905,517.7363,0.85839844,1093.8027,588.6045,0.62841797,1041.3633,544.1211,0.4951172
6,1026.458,818.85254,0.91308594,982.85156,748.9863,0.44995117,954.27344,637.43066,0.5234375,942.0117,549.3672,0.5136719,959.0664,446.23438,0.7548828,959.79297,406.29688,0.7866211,966.64844,247.91992,0.5732422,872.5215,578.25684,0.1751709,872.08594,584.91406,0.13122559,941.4668,779.4883,0.48364258,990.49805,727.0508,0.47143555,766.12305,593.96484,0.8457031,807.4746,549.30566,0.5566406,1090.1016,632.58203,0.45751953,1041.3633,581.6133,0.81103516
7,952.7988,818.85254,0.7392578,982.85156,748.9863,0.6357422,974.5488,643.1406,0.4482422,957.99023,577.08594,0.5961914,963.354,479.50586,0.9194336,969.8633,436.23462,0.88623047,972.6426,291.38916,0.5205078,872.5215,596.3203,0.5258789,872.08594,584.91406,0.12097168,941.4668,779.4883,0.515625,990.49805,765.8047,0.47485352,796.0798,629.0713,0.88183594,839.18164,594.7197,0.47021484,1090.1016,668.56055,0.2244873,1041.3633,614.3906,0.6298828
